night,syn,distance,diff_person
1,7,20,2
1,3,20.3,2
1,7,24.7,2
1,10,46.5,2
1,2,47,2
1,4,28,2
1,7,27.1,2
1,1,27.6,2
1,2,23.6,2
1,3,22.9,2
1,2,20.8,2
1,2,21.5,2
1,7,23.3,1
1,3,30.1,1
1,8,18.2,2
1,0,18.7,2
1,4,4.2,1
1,0,14.2,1
1,3,32.1,2
1,5,28.6,2
1,3,10.7,2
1,0,7.2,2
1,6,11.5,2
1,5,11.3,2
1,10,12.5,2
1,5,14.6,2
1,9,16.4,2
1,14,19.2,2
1,4,28.2,2
1,1,4.3,1
1,7,10.9,1
1,4,10,1
1,7,28.9,2
1,1,26.9,2
1,1,8,2
1,4,8.1,2
1,2,15.4,2
1,1,15.5,2
1,6,16.7,2
1,1,18.6,2
1,5,20.4,2
1,10,23.2,2
1,0,32.3,2
1,5,8.2,1
1,3,7.1,1
1,3,22,2
1,5,24.5,2
1,3,8.8,2
1,0,15,2
1,6,24.8,2
1,5,25.4,2
1,10,26.7,2
1,5,28.4,2
1,9,30.2,2
1,14,33,2
1,4,42.1,2
1,1,18.1,1
1,7,6,1
1,8,13.6,2
1,6,21.4,2
1,3,28,2
1,9,38.6,2
1,8,41.6,2
1,13,43.4,2
1,8,46.4,2
1,12,48.2,2
1,17,50.8,2
1,7,59.5,2
1,2,36.4,2
1,10,27.8,2
1,2,18.9,2
1,5,22.2,1
1,1,31,1
1,0,35.1,2
1,5,37.1,2
1,0,40.7,2
1,4,42.4,2
1,9,44.6,2
1,1,52.6,2
1,6,32.4,2
1,2,29.2,2
1,3,7.6,1
1,3,18.4,1
1,2,20.5,2
1,7,22.2,2
1,2,25,2
1,6,26.8,2
1,11,29.4,2
1,1,38.3,2
1,4,15,2
1,4,11.1,2
1,6,10.9,1
1,5,13.6,2
1,10,15.5,2
1,5,18.7,2
1,9,20.5,2
1,14,22.9,2
1,4,31.6,2
1,1,10.4,2
1,7,14.6,2
1,1,5,2
1,4,7,2
1,1,10.8,2
1,3,12.2,2
1,8,13.9,2
1,2,21.6,2
1,7,10,2
1,1,22.3,2
1,5,2.1,1
1,0,5.9,1
1,4,7.4,1
1,9,9.5,2
1,1,18,2
1,6,8,2
1,2,21.9,2
1,5,3.9,1
1,1,5.3,1
1,4,7.5,2
1,6,16.1,2
1,11,8.9,2
1,3,22.8,2
1,4,1.8,1
1,9,4.6,2
1,1,13.7,2
1,6,10.4,2
1,2,24,2
1,5,2.8,2
1,5,11.9,2
1,10,12.2,2
1,2,25.7,2
1,10,9.1,1
1,15,15,2
1,7,28.5,2
1,5,24.1,2
1,3,37.5,2
1,8,14,1
2,19,41.9,2
2,11,42.7,2
2,13,40.9,2
2,9,46.7,2
2,19,54.5,2
2,12,77.8,2
2,11,57.8,2
2,15,50.4,2
2,8,50.3,2
2,9,49.3,2
2,11,47,2
2,13,42.1,2
2,9,40.7,2
2,13,37,2
2,19,37.2,1
2,19,48.7,2
2,8,4.2,1
2,6,10.9,1
2,10,14.2,1
2,0,19.5,2
2,7,39.9,2
2,8,18.8,2
2,4,10.7,2
2,11,10.3,2
2,10,10.7,2
2,8,11.5,2
2,6,11.3,2
2,10,12.5,2
2,6,16.4,2
2,0,19.2,2
2,0,11.9,2
2,2,7.1,1
2,2,10,1
2,8,15.7,2
2,1,37.2,2
2,0,16,2
2,4,8,2
2,3,13,2
2,2,13.8,2
2,0,15.4,2
2,2,15.5,2
2,2,16.7,2
2,2,20.4,2
2,8,23.2,2
2,8,8.1,2
2,4,6,1
2,6,13.9,2
2,1,37.1,2
2,2,17.2,2
2,2,11.1,2
2,5,20,2
2,4,20.9,2
2,2,22.3,2
2,0,21.9,2
2,4,22.8,2
2,0,25.7,2
2,6,28.5,2
2,6,8.1,2
2,10,8,2
2,3,31.3,2
2,2,12.5,2
2,6,8.8,2
2,1,21.1,2
2,0,22.5,2
2,2,24.8,2
2,4,25.4,2
2,0,26.7,2
2,4,30.2,2
2,10,33,2
2,10,4.7,2
2,7,23.3,1
2,8,7,2
2,4,9.8,2
2,11,23.4,2
2,10,25.1,2
2,8,28.3,2
2,6,30.1,2
2,10,31.7,2
2,6,36,2
2,0,38.7,2
2,0,7.7,2
2,1,21.2,2
2,3,29.3,2
2,4,38.7,2
2,3,40.7,2
2,1,44.6,2
2,1,48.2,2
2,3,50.2,2
2,1,55.2,2
2,7,57.7,2
2,7,29.7,2
2,4,8.1,2
2,3,19.4,1
2,2,21.3,1
2,0,25,1
2,2,27.9,2
2,2,29.7,2
2,2,34.5,2
2,8,37.1,2
2,8,9.2,2
2,7,13.6,1
2,6,15.4,1
2,4,18.4,1
2,2,20.5,2
2,6,22.2,2
2,2,26.8,2
2,4,29.4,2
2,4,4.1,2
2,1,2,1
2,3,6,1
2,5,10.2,2
2,1,12.3,2
2,5,17.6,2
2,11,19.6,2
2,11,17,2
2,2,4,1
2,4,8.6,2
2,0,10.6,2
2,4,15.9,2
2,10,17.8,2
2,10,18.6,2
2,2,5,2
2,2,7,2
2,2,12.2,2
2,8,13.9,2
2,8,21.3,2
2,4,2.1,1
2,0,7.4,1
2,6,9.5,2
2,6,22.6,2
2,4,5.3,1
2,10,7.5,2
2,10,24.2,2
2,6,2.8,2
2,6,28.3,2
2,0,31,2
